Name,Description,Type,Unit
day7-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 7),numeric,hour
day7-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 7),numeric,hour
day7-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 7),numeric,hour
day7-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 7),numeric,hour
day7-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 7),numeric,hour
day7-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 7),numeric,hour
acc-overall-avg,Acceleration overall average,numeric,milligravity
acc-overall-sd,Acceleration overall variation,numeric,milligravity
wearTime-overall-avg,Accelerometer wear time overall proportion average,numeric,proportion of time
wearTime-overall-sd,Accelerometer wear time overall proportion variation,numeric,proportion of time
cutPointMVPA-overall-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity overall proportion average,numeric,proportion of time
cutPointMVPA-overall-sd,Accelerometer-derived cut-point-based moderate-vigorous physical activity overall proportion variation,numeric,proportion of time
cutPointVPA-overall-avg,Accelerometer-derived cut-point-based vigorous physical activity overall proportion average,numeric,proportion of time
cutPointVPA-overall-sd,Accelerometer-derived cut-point-based vigorous physical activity overall proportion variation,numeric,proportion of time
acc-week-avg,Acceleration week average,numeric,milligravity
wearTime-week-avg,Accelerometer wear time week proportion average,numeric,proportion of time
cutPointMVPA-week-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity week proportion average,numeric,proportion of time
cutPointVPA-week-avg,Accelerometer-derived cut-point-based vigorous physical activity week proportion average,numeric,proportion of time
acc-mon-avg,Acceleration Monday average,numeric,milligravity
acc-tue-avg,Acceleration Tuesday average,numeric,milligravity
acc-wed-avg,Acceleration Wednesday average,numeric,milligravity
acc-thu-avg,Acceleration Thursday average,numeric,milligravity
acc-fri-avg,Acceleration Friday average,numeric,milligravity
acc-sat-avg,Acceleration Saturday average,numeric,milligravity
acc-sun-avg,Acceleration Sunday average,numeric,milligravity
wearTime-mon-avg,Accelerometer wear time Monday proportion average,numeric,proportion of time
wearTime-tue-avg,Accelerometer wear time Tuesday proportion average,numeric,proportion of time
wearTime-wed-avg,Accelerometer wear time Wednesday proportion average,numeric,proportion of time
wearTime-thu-avg,Accelerometer wear time Thursday proportion average,numeric,proportion of time
wearTime-fri-avg,Accelerometer wear time Friday proportion average,numeric,proportion of time
wearTime-sat-avg,Accelerometer wear time Saturday proportion average,numeric,proportion of time
wearTime-sun-avg,Accelerometer wear time Sunday proportion average,numeric,proportion of time
cutPointMVPA-mon-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity Monday proportion average,numeric,proportion of time
cutPointMVPA-tue-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity Tuesday proportion average,numeric,proportion of time
cutPointMVPA-wed-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity Wednesday proportion average,numeric,proportion of time
cutPointMVPA-thu-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity Thursday proportion average,numeric,proportion of time
cutPointMVPA-fri-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity Friday proportion average,numeric,proportion of time
cutPointMVPA-sat-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity Saturday proportion average,numeric,proportion of time
cutPointMVPA-sun-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity Sunday proportion average,numeric,proportion of time
cutPointVPA-mon-avg,Accelerometer-derived cut-point-based vigorous physical activity Monday proportion average,numeric,proportion of time
cutPointVPA-tue-avg,Accelerometer-derived cut-point-based vigorous physical activity Tuesday proportion average,numeric,proportion of time
cutPointVPA-wed-avg,Accelerometer-derived cut-point-based vigorous physical activity Wednesday proportion average,numeric,proportion of time
cutPointVPA-thu-avg,Accelerometer-derived cut-point-based vigorous physical activity Thursday proportion average,numeric,proportion of time
cutPointVPA-fri-avg,Accelerometer-derived cut-point-based vigorous physical activity Friday proportion average,numeric,proportion of time
cutPointVPA-sat-avg,Accelerometer-derived cut-point-based vigorous physical activity Saturday proportion average,numeric,proportion of time
cutPointVPA-sun-avg,Accelerometer-derived cut-point-based vigorous physical activity Sunday proportion average,numeric,proportion of time
acc-hourOfDay-0-avg,Acceleration 00:00 - 00:59 average,numeric,milligravity
acc-hourOfDay-1-avg,Acceleration 01:00 - 01:59 average,numeric,milligravity
acc-hourOfDay-2-avg,Acceleration 02:00 - 02:59 average,numeric,milligravity
acc-hourOfDay-3-avg,Acceleration 03:00 - 03:59 average,numeric,milligravity
acc-hourOfDay-4-avg,Acceleration 04:00 - 04:59 average,numeric,milligravity
acc-hourOfDay-5-avg,Acceleration 05:00 - 05:59 average,numeric,milligravity
acc-hourOfDay-6-avg,Acceleration 06:00 - 06:59 average,numeric,milligravity
acc-hourOfDay-7-avg,Acceleration 07:00 - 07:59 average,numeric,milligravity
acc-hourOfDay-8-avg,Acceleration 08:00 - 08:59 average,numeric,milligravity
acc-hourOfDay-9-avg,Acceleration 09:00 - 09:59 average,numeric,milligravity
